Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Peak Freq (Hz)	song	element
1	Spectrogram 1	1	1.204019845	1.256058114	5575.000	7710.500	Anisognathus_somptuosus-ML66123691.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Anisognathus_somptuosus-ML66123691.wav	7407.422	1	a
2	Spectrogram 1	1	1.372749990	1.418480590	5376.400	7536.700	Anisognathus_somptuosus-ML66123691.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Anisognathus_somptuosus-ML66123691.wav	7149.023	1	b
3	Spectrogram 1	1	1.427942094	1.476826529	5674.300	7760.100	Anisognathus_somptuosus-ML66123691.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Anisognathus_somptuosus-ML66123691.wav	7493.555	1	a
4	Spectrogram 1	1	1.536749384	1.576172315	5500.500	7536.700	Anisognathus_somptuosus-ML66123691.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Anisognathus_somptuosus-ML66123691.wav	7321.289	1	b
5	Spectrogram 1	1	1.759337533	1.812952719	6816.600	7437.300	Anisognathus_somptuosus-ML66123691.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Anisognathus_somptuosus-ML66123691.wav	7235.156	1	c
6	Spectrogram 1	1	1.853224700	1.905262969	7288.300	7834.600	Anisognathus_somptuosus-ML66123691.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Anisognathus_somptuosus-ML66123691.wav	7579.688	1	d
7	Spectrogram 1	1	1.911345393	1.941306821	6096.500	6593.100	Anisognathus_somptuosus-ML66123691.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Anisognathus_somptuosus-ML66123691.wav	6373.828	1	e
8	Spectrogram 1	1	2.024883435	2.054844863	6046.800	6742.100	Anisognathus_somptuosus-ML66123691.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Anisognathus_somptuosus-ML66123691.wav	6546.094	1	e
9	Spectrogram 1	1	2.078723866	2.133915970	7338.000	7785.000	Anisognathus_somptuosus-ML66123691.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Anisognathus_somptuosus-ML66123691.wav	7579.688	1	d
10	Spectrogram 1	1	2.190459746	2.229882677	7313.200	7983.600	Anisognathus_somptuosus-ML66123691.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Anisognathus_somptuosus-ML66123691.wav	7751.953	1	f
11	Spectrogram 1	1	2.253536436	2.288228616	5947.500	6717.200	Anisognathus_somptuosus-ML66123691.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Anisognathus_somptuosus-ML66123691.wav	6459.961	1	e
12	Spectrogram 1	1	2.381266733	2.420689665	6220.600	6841.400	Anisognathus_somptuosus-ML66123691.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Anisognathus_somptuosus-ML66123691.wav	6546.094	1	e
13	Spectrogram 1	1	2.431225538	2.485343272	6976.900	7794.500	Anisognathus_somptuosus-ML66123691.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Anisognathus_somptuosus-ML66123691.wav	7493.555	1	d
14	Spectrogram 1	1	2.543689210	2.592573645	7164.200	7884.300	Anisognathus_somptuosus-ML66123691.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Anisognathus_somptuosus-ML66123691.wav	7579.688	1	f
