"original_dir","old_name","new_name","file_size_bytes","duplicate"
"/home/m/Dropbox/Projects/bird_song_evolution/data/processed/raven_annotation_files/Scotocercidae","Abroscopus_albogularis-ML138545591.Table.1.selections.txt","Abroscopus_albogularis-ML138545591.Table.1.selections.txt",5585,NA
"/home/m/Dropbox/Projects/bird_song_evolution/data/processed/raven_annotation_files/Scotocercidae","Abroscopus_schisticeps-ML140812.Table.1.selections.txt","Abroscopus_schisticeps-ML140812.Table.1.selections.txt",4373,NA
"/home/m/Dropbox/Projects/bird_song_evolution/data/processed/raven_annotation_files/Scotocercidae","Abroscopus_superciliaris-ML70266.Table.1.selections.txt","Abroscopus_superciliaris-ML70266.Table.1.selections.txt",2557,NA
"/home/m/Dropbox/Projects/bird_song_evolution/data/processed/raven_annotation_files/Cracidae","Aburria_aburri-ML64088.Table.1.selections.txt","Aburria_aburri-ML64088.Table.1.selections.txt",1323,NA
"/home/m/Dropbox/Projects/bird_song_evolution/data/processed/raven_annotation_files/Meliphagidae","Acanthagenys_rufogularis-ML31672571.Table.1.selections.txt","Acanthagenys_rufogularis-ML31672571.Table.1.selections.txt",5802,NA
"/home/m/Dropbox/Projects/bird_song_evolution/data/processed/raven_annotation_files/Thraupidae","Acanthidops_bairdi-ML51746.Table.1.selections.txt","Acanthidops_bairdi-ML51746.Table.1.selections.txt",8091,NA
"/home/m/Dropbox/Projects/bird_song_evolution/data/processed/raven_annotation_files/Fringillidae","Acanthis_cabaret-ML145743011.Table.1.selections.txt","Acanthis_cabaret-ML145743011.Table.1.selections.txt",2087,NA
"/home/m/Dropbox/Projects/bird_song_evolution/data/processed/raven_annotation_files/Fringillidae","Acanthis_flammea-ML132228.Table.1.selections.txt","Acanthis_flammea-ML132228.Table.1.selections.txt",6742,NA
"/home/m/Dropbox/Projects/bird_song_evolution/data/processed/raven_annotation_files/Fringillidae","Acanthis_hornemanni-ML207109.Table.1.selections.txt","Acanthis_hornemanni-ML207109.Table.1.selections.txt",2723,NA
"/home/m/Dropbox/Projects/bird_song_evolution/data/processed/raven_annotation_files/Acanthisittidae","Acanthisitta_chloris-ML136000.Table.1.selections.txt","Acanthisitta_chloris-ML136000.Table.1.selections.txt",1614,NA
"/home/m/Dropbox/Projects/bird_song_evolution/data/processed/raven_annotation_files/Acanthizidae/1","Acanthiza_apicalis-ML101905991.Table.1.selections.txt","Acanthiza_apicalis-ML101905991.Table.1.selections-1.txt",5052,"possible.dupl"
"/home/m/Dropbox/Projects/bird_song_evolution/data/processed/raven_annotation_files/Acanthizidae","Acanthiza_apicalis-ML101905991.Table.1.selections.txt","Acanthiza_apicalis-ML101905991.Table.1.selections-2.txt",5052,"possible.dupl"
"/home/m/Dropbox/Projects/bird_song_evolution/data/processed/raven_annotation_files/Acanthizidae/1","Acanthiza_chrysorrhoa-ML178020371.Table.1.selections.txt","Acanthiza_chrysorrhoa-ML178020371.Table.1.selections-1.txt",18834,"possible.dupl"
