Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Peak Freq (Hz)	song	element
1	Spectrogram 1	1	2.155550243	2.198490056	2908.6	4875.4	Ficedula_albicilla-ML64398911.wav	E:\Andean\Muscicapidae\Ficedula_albicilla-ML64398911.wav	3531.445	1	a
2	Spectrogram 1	1	2.205096181	2.264551307	1994.5	3074.8	Ficedula_albicilla-ML64398911.wav	E:\Andean\Muscicapidae\Ficedula_albicilla-ML64398911.wav	2842.383	1	b
3	Spectrogram 1	1	2.376855433	2.426401372	2714.7	4875.4	Ficedula_albicilla-ML64398911.wav	E:\Andean\Muscicapidae\Ficedula_albicilla-ML64398911.wav	3617.578	1	a
4	Spectrogram 1	1	2.433007497	2.489159560	1883.7	2936.3	Ficedula_albicilla-ML64398911.wav	E:\Andean\Muscicapidae\Ficedula_albicilla-ML64398911.wav	2583.984	1	b
5	Spectrogram 1	1	2.578342249	2.634494312	2714.7	4792.3	Ficedula_albicilla-ML64398911.wav	E:\Andean\Muscicapidae\Ficedula_albicilla-ML64398911.wav	3445.312	1	a
6	Spectrogram 1	1	2.641100437	2.700555563	1800.6	2991.7	Ficedula_albicilla-ML64398911.wav	E:\Andean\Muscicapidae\Ficedula_albicilla-ML64398911.wav	2842.383	1	b
7	Spectrogram 1	1	2.799647439	2.849193377	2908.6	4847.7	Ficedula_albicilla-ML64398911.wav	E:\Andean\Muscicapidae\Ficedula_albicilla-ML64398911.wav	4565.039	1	a
8	Spectrogram 1	1	2.855799502	2.911951565	1939.1	2936.3	Ficedula_albicilla-ML64398911.wav	E:\Andean\Muscicapidae\Ficedula_albicilla-ML64398911.wav	2756.250	1	b
9	Spectrogram 1	1	2.991225066	3.040771004	2880.9	4847.7	Ficedula_albicilla-ML64398911.wav	E:\Andean\Muscicapidae\Ficedula_albicilla-ML64398911.wav	3531.445	1	a
10	Spectrogram 1	1	3.050680192	3.116741443	1828.3	3157.9	Ficedula_albicilla-ML64398911.wav	E:\Andean\Muscicapidae\Ficedula_albicilla-ML64398911.wav	2928.516	1	b
11	Spectrogram 1	1	3.192711881	3.252167007	2797.8	4764.6	Ficedula_albicilla-ML64398911.wav	E:\Andean\Muscicapidae\Ficedula_albicilla-ML64398911.wav	3703.711	1	a
12	Spectrogram 1	1	3.252167007	3.305016008	1939.1	3074.8	Ficedula_albicilla-ML64398911.wav	E:\Andean\Muscicapidae\Ficedula_albicilla-ML64398911.wav	2842.383	1	b
13	Spectrogram 1	1	3.380986446	3.433835447	3047.1	4847.7	Ficedula_albicilla-ML64398911.wav	E:\Andean\Muscicapidae\Ficedula_albicilla-ML64398911.wav	3617.578	1	a
14	Spectrogram 1	1	3.440441572	3.509805885	1828.3	3157.9	Ficedula_albicilla-ML64398911.wav	E:\Andean\Muscicapidae\Ficedula_albicilla-ML64398911.wav	2928.516	1	b
15	Spectrogram 1	1	3.585776324	3.632019199	2880.9	4875.4	Ficedula_albicilla-ML64398911.wav	E:\Andean\Muscicapidae\Ficedula_albicilla-ML64398911.wav	4565.039	1	a
16	Spectrogram 1	1	3.641928387	3.704686575	1772.9	3130.2	Ficedula_albicilla-ML64398911.wav	E:\Andean\Muscicapidae\Ficedula_albicilla-ML64398911.wav	2928.516	1	b
17	Spectrogram 1	1	3.770747826	3.823596827	2936.3	4875.4	Ficedula_albicilla-ML64398911.wav	E:\Andean\Muscicapidae\Ficedula_albicilla-ML64398911.wav	4048.242	1	a
18	Spectrogram 1	1	3.833506014	3.899567265	1828.3	3213.3	Ficedula_albicilla-ML64398911.wav	E:\Andean\Muscicapidae\Ficedula_albicilla-ML64398911.wav	2928.516	1	b
19	Spectrogram 1	1	3.965628516	4.021780579	2908.6	4792.3	Ficedula_albicilla-ML64398911.wav	E:\Andean\Muscicapidae\Ficedula_albicilla-ML64398911.wav	4565.039	1	a
20	Spectrogram 1	1	4.028386704	4.094447955	1800.6	3130.2	Ficedula_albicilla-ML64398911.wav	E:\Andean\Muscicapidae\Ficedula_albicilla-ML64398911.wav	2928.516	1	b
