Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Peak Power Density (dB FS/Hz)	song	element
40	Spectrogram 1	1	181.157789211	181.182667597	3747.400	5865.500	Camarhynchus_psittacula-ML85459.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Camarhynchus_psittacula-ML85459.wav	-27.91	2	a
41	Spectrogram 1	1	181.177336514	181.285735196	1737.900	3937.500	Camarhynchus_psittacula-ML85459.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Camarhynchus_psittacula-ML85459.wav	-26.52	2	b
42	Spectrogram 1	1	181.283958168	181.339046023	1656.500	2389.700	Camarhynchus_psittacula-ML85459.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Camarhynchus_psittacula-ML85459.wav	-24.83	2	c
43	Spectrogram 1	1	193.100411831	193.224803760	1765.100	4181.900	Camarhynchus_psittacula-ML85459.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Camarhynchus_psittacula-ML85459.wav	-25.66	3	b
44	Spectrogram 1	1	193.221249705	193.265675394	1643.300	2450.000	Camarhynchus_psittacula-ML85459.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Camarhynchus_psittacula-ML85459.wav	-25.49	3	c
45	Spectrogram 1	1	193.340985730	193.364087088	3794.500	6154.900	Camarhynchus_psittacula-ML85459.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Camarhynchus_psittacula-ML85459.wav	-25.65	3	a
46	Spectrogram 1	1	193.360086392	193.470033565	1982.300	4209.100	Camarhynchus_psittacula-ML85459.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Camarhynchus_psittacula-ML85459.wav	-24.77	3	b
47	Spectrogram 1	1	193.464702482	193.509128171	1792.700	2659.100	Camarhynchus_psittacula-ML85459.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Camarhynchus_psittacula-ML85459.wav	-24.47	3	c
48	Spectrogram 1	1	193.587992562	193.609316893	3943.900	6125.000	Camarhynchus_psittacula-ML85459.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Camarhynchus_psittacula-ML85459.wav	-25.32	3	a
49	Spectrogram 1	1	193.601762141	193.717040397	1955.200	4209.100	Camarhynchus_psittacula-ML85459.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Camarhynchus_psittacula-ML85459.wav	-25.13	3	b
