"family","#_of_species"
"Acanthisittidae",2
"Acanthizidae",41
"Accipitridae",166
"Acrocephalidae",33
"Aegithalidae",7
"Aegithinidae",2
"Aegothelidae",1
"Alaudidae",83
"Alcedinidae",41
"Alcidae",23
"Anatidae",138
"Anhimidae",3
"Anhingidae",2
"Anseranatidae",1
"Apodidae",60
"Apterygidae",5
"Aramidae",1
"Ardeidae",44
"Artamidae",16
"Atrichornithidae",2
"Balaenicipitidae",1
"Bernieridae",6
"Bombycillidae",3
"Brachypteraciidae",4
"Bucconidae",33
"Bucerotidae",32
"Bucorvidae",2
"Buphagidae",2
"Burhinidae",9
"Cacatuidae",17
"Calcariidae",6
"Callaeidae",3
"Calyptomenidae",3
"Calyptophilidae",2
"Campephagidae",31
"Capitonidae",13
"Caprimulgidae",77
"Cardinalidae",49
"Cariamidae",2
"Casuariidae",2
"Cathartidae",4
"Certhiidae",9
"Chaetopidae",2
"Charadriidae",59
"Chionidae",1
"Chloropseidae",6
"Ciconiidae",12
"Cinclidae",4
"Cinclosomatidae",6
"Cisticolidae",121
"Climacteridae",6
"Coliidae",5
"Columbidae",143
"Conopophagidae",7
"Coraciidae",10
"Corcoracidae",2
"Corvidae",98
"Cotingidae",57
"Cracidae",50
"Cuculidae",98
"Dasyornithidae",3
"Dicaeidae",13
"Dicruridae",17
"Diomedeidae",13
"Donacobiidae",1
"Dromadidae",1
"Dulidae",1
"Elachuridae",1
"Emberizidae",39
"Estrildidae",72
"Eurylaimidae",1
"Eurypygidae",1
"Falconidae",49
"Falcunculidae",1
"Formicariidae",12
"Fregatidae",3
"Fringillidae",182
"Furnariidae",302
"Galbulidae",18
"Gaviidae",5
"Glareolidae",11
"Grallariidae",67
"Gruidae",14
"Haematopodidae",10
"Heliornithidae",2
"Hemiprocnidae",1
"Hirundinidae",69
"Hydrobatidae",15
"Hyliotidae",3
"Ibidorhynchidae",1
"Icteridae",101
"Icteriidae",1
"Indicatoridae",10
"Irenidae",1
"Jacanidae",5
"Laniidae",30
"Laridae",90
"Leiothrichidae",96
"Leptosomidae",1
"Locustellidae",38
"Lybiidae",35
"Machaerirhynchidae",1
"Macrosphenidae",17
"Malaconotidae",45
"Maluridae",21
"Megalaimidae",12
"Megapodiidae",3
"Melanopareiidae",4
"Meliphagidae",74
"Menuridae",2
"Meropidae",19
"Mesitornithidae",3
"Mimidae",34
"Mitrospingidae",4
"Modulatricidae",3
"Mohoidae",1
"Mohouidae",3
"Momotidae",13
"Monarchidae",25
"Motacillidae",60
"Muscicapidae",224
"Musophagidae",20
"Nectariniidae",87
"Neosittidae",2
"Nesospingidae",1
"Nicatoridae",3
"Notiomystidae",1
"Numididae",4
"Nyctibiidae",7
"Oceanitidae",4
"Odontophoridae",31
"Opisthocomidae",1
"Oreoicidae",1
"Oriolidae",16
"Orthonychidae",2
"Otididae",16
"Oxyruncidae",6
"Pachycephalidae",16
"Pandionidae",1
"Paradisaeidae",4
"Pardalotidae",4
"Paridae",55
"Parulidae",107
"Passerellidae",129
"Passeridae",33
"Pedionomidae",1
"Pelecanidae",5
"Pellorneidae",25
"Petroicidae",24
"Peucedramidae",1
"Phaenicophilidae",3
"Phaethontidae",3
"Phalacrocoracidae",19
"Phasianidae",120
"Philepittidae",3
"Phoenicopteridae",5
"Phoeniculidae",8
"Phylloscopidae",60
"Picidae",180
"Pipridae",53
"Pittidae",11
"Platysteiridae",18
"Ploceidae",79
"Pluvianellidae",1
"Pluvianidae",1
"Pnoepygidae",5
"Podargidae",5
"Podicipedidae",19
"Polioptilidae",21
"Pomatostomidae",4
"Procellariidae",48
"Promeropidae",2
"Prunellidae",11
"Psittacidae",148
"Psittaculidae",61
"Psophiidae",3
"Psophodidae",4
"Pteroclidae",14
"Ptiliogonatidae",4
"Ptilonorhynchidae",10
"Pycnonotidae",81
"Rallidae",92
"Ramphastidae",34
"Recurvirostridae",9
"Regulidae",5
"Remizidae",8
"Rheidae",2
"Rhinocryptidae",63
"Rhipiduridae",10
"Rhodinocichlidae",1
"Sagittariidae",1
"Sapayoidae",1
"Sarothruridae",7
"Scolopacidae",79
"Scopidae",1
"Scotocercidae",24
"Semnornithidae",2
"Sittidae",22
"Spheniscidae",14
"Spindalidae",4
"Steatornithidae",1
"Stenostiridae",8
"Stercorariidae",7
"Strigidae",143
"Strigopidae",3
"Sturnidae",63
"Sulidae",9
"Sylviidae",64
"Teretistridae",2
"Thamnophilidae",208
"Thinocoridae",4
"Thraupidae",369
"Threskiornithidae",29
"Tichodromidae",1
"Timaliidae",31
"Tinamidae",43
"Tityridae",33
"Todidae",5
"Trochilidae",315
"Troglodytidae",83
"Trogonidae",33
"Turdidae",136
"Turnicidae",9
"Tyrannidae",410
"Tytonidae",8
"Upupidae",2
"Urocynchramidae",1
"Vangidae",28
"Viduidae",8
"Vireonidae",59
"Zeledoniidae",1
"Zosteropidae",34
