"family","Scientific.Name","species_ebird_url","ML Catalog Number","sound.files","Common Name","Orginal.Scientific.Name","Behaviors","file_url"
"Acanthizidae","Acanthiza cinerea","https://ebird.org/species/mouger1",182659,"Acanthiza_cinerea-ML182659.wav","Gray Thornbill","Acanthiza cinerea",NA,"https://macaulaylibrary.org/asset/182659"
"Acanthizidae","Acanthiza murina","https://ebird.org/species/paptho1",20983,"Acanthiza_murina-ML20983.wav","Papuan Thornbill","Acanthiza murina","Song","https://macaulaylibrary.org/asset/20983"
"Accipitridae","Accipiter albogularis","https://ebird.org/species/piegos1",246940,"Accipiter_albogularis-ML246940.wav","Pied Goshawk","Accipiter albogularis","Call","https://macaulaylibrary.org/asset/246940"
"Accipitridae","Accipiter erythrauchen","https://ebird.org/species/runspa1",218135731,"Accipiter_erythrauchen-ML218135731.wav","Rufous-necked Sparrowhawk","Accipiter erythrauchen",NA,"https://macaulaylibrary.org/asset/218135731"
"Accipitridae","Accipiter erythropus","https://ebird.org/species/retspa1",434682891,"Accipiter_erythropus-ML434682891.wav","Red-thighed Sparrowhawk","Accipiter erythropus","Flight Call","https://macaulaylibrary.org/asset/434682891"
"Accipitridae","Accipiter haplochrous","https://ebird.org/species/necgos1",173401351,"Accipiter_haplochrous-ML173401351.wav","New Caledonia Goshawk","Accipiter haplochrous","Call","https://macaulaylibrary.org/asset/173401351"
"Accipitridae","Accipiter henicogrammus","https://ebird.org/species/molgos1",203906641,"Accipiter_henicogrammus-ML203906641.wav","Moluccan Goshawk","Accipiter henicogrammus","Call","https://macaulaylibrary.org/asset/203906641"
"Accipitridae","Accipiter hiogaster","https://ebird.org/species/vargos1",182234,"Accipiter_hiogaster-ML182234.wav","Variable Goshawk","Accipiter hiogaster",NA,"https://macaulaylibrary.org/asset/182234"
"Accipitridae","Accipiter imitator","https://ebird.org/species/imispa1",117225041,"Accipiter_imitator-ML117225041.wav","Imitator Sparrowhawk","Accipiter imitator","Call","https://macaulaylibrary.org/asset/117225041"
"Accipitridae","Accipiter nanus","https://ebird.org/species/smaspa1",182869,"Accipiter_nanus-ML182869.wav","Small Sparrowhawk","Accipiter nanus",NA,"https://macaulaylibrary.org/asset/182869"
"Accipitridae","Accipiter rhodogaster","https://ebird.org/species/vibspa1",249907041,"Accipiter_rhodogaster-ML249907041.wav","Vinous-breasted Sparrowhawk","Accipiter rhodogaster",NA,"https://macaulaylibrary.org/asset/249907041"
"Accipitridae","Accipiter rufitorques","https://ebird.org/species/fijgos1",64430,"Accipiter_rufitorques-ML64430.wav","Fiji Goshawk","Accipiter rufitorques",NA,"https://macaulaylibrary.org/asset/64430"
"Accipitridae","Accipiter trinotatus","https://ebird.org/species/sptgos1",33013,"Accipiter_trinotatus-ML33013.wav","Spot-tailed Goshawk","Accipiter trinotatus","Call","https://macaulaylibrary.org/asset/33013"
"Sturnidae","Acridotheres melanopterus","https://ebird.org/species/bkwsta3",161756011,"Acridotheres_melanopterus-ML161756011.wav","Black-winged Myna (Gray-backed)","Acridotheres melanopterus",NA,"https://macaulaylibrary.org/asset/161756011"
"Acrocephalidae","Acrocephalus atyphus","https://ebird.org/species/turwar1",198534391,"Acrocephalus_atyphus-ML198534391.wav","Tuamotu Reed Warbler","Acrocephalus atyphus","Song","https://macaulaylibrary.org/asset/198534391"
"Acrocephalidae","Acrocephalus caffer","https://ebird.org/species/tahrew1",191889321,"Acrocephalus_caffer-ML191889321.wav","Tahiti Reed Warbler","Acrocephalus caffer","Song","https://macaulaylibrary.org/asset/191889321"
"Acrocephalidae","Acrocephalus hiwae","https://ebird.org/species/sairew1",5401,"Acrocephalus_hiwae-ML5401.wav","Saipan Reed Warbler","Acrocephalus hiwae","Song","https://macaulaylibrary.org/asset/5401"
"Acrocephalidae","Acrocephalus mendanae","https://ebird.org/species/marwar2",203895521,"Acrocephalus_mendanae-ML203895521.wav","Southern Marquesan Reed Warbler","Acrocephalus mendanae","Song","https://macaulaylibrary.org/asset/203895521"
"Acrocephalidae","Acrocephalus orinus","https://ebird.org/species/labrew1",105266941,"Acrocephalus_orinus-ML105266941.wav","Large-billed Reed Warbler","Acrocephalus orinus","Song","https://macaulaylibrary.org/asset/105266941"
"Acrocephalidae","Acrocephalus percernis","https://ebird.org/species/marrew2",186382821,"Acrocephalus_percernis-ML186382821.wav","Northern Marquesan Reed Warbler","Acrocephalus percernis",NA,"https://macaulaylibrary.org/asset/186382821"
"Acrocephalidae","Acrocephalus rehsei","https://ebird.org/species/narwar1",125882,"Acrocephalus_rehsei-ML125882.wav","Nauru Reed Warbler","Acrocephalus rehsei","Song","https://macaulaylibrary.org/asset/125882"
"Acrocephalidae","Acrocephalus rimitarae","https://ebird.org/species/rimrew1",204001551,"Acrocephalus_rimitarae-ML204001551.wav","Rimitara Reed Warbler","Acrocephalus rimitarae","Call","https://macaulaylibrary.org/asset/204001551"
"Acrocephalidae","Acrocephalus rodericanus","https://ebird.org/species/rodbrw1",72268,"Acrocephalus_rodericanus-ML72268.wav","Rodrigues Warbler","Acrocephalus rodericanus","Call; Song","https://macaulaylibrary.org/asset/72268"
"Acrocephalidae","Acrocephalus sechellensis","https://ebird.org/species/sebwar1",101990,"Acrocephalus_sechellensis-ML101990.wav","Seychelles Warbler","Acrocephalus sechellensis","Song","https://macaulaylibrary.org/asset/101990"
"Acrocephalidae","Acrocephalus syrinx","https://ebird.org/species/carrew1",5501,"Acrocephalus_syrinx-ML5501.wav","Caroline Reed Warbler","Acrocephalus syrinx","Song","https://macaulaylibrary.org/asset/5501"
"Acrocephalidae","Acrocephalus taiti","https://ebird.org/species/hirwar1",203895601,"Acrocephalus_taiti-ML203895601.wav","Henderson Island Reed Warbler","Acrocephalus taiti","Call","https://macaulaylibrary.org/asset/203895601"
"Acrocephalidae","Acrocephalus vaughani","https://ebird.org/species/pirwar2",203895441,"Acrocephalus_vaughani-ML203895441.wav","Pitcairn Reed Warbler","Acrocephalus vaughani","Call","https://macaulaylibrary.org/asset/203895441"
"Alcedinidae","Actenoides hombroni","https://ebird.org/species/blckin2",203991781,"Actenoides_hombroni-ML203991781.wav","Blue-capped Kingfisher","Actenoides hombroni","Call","https://macaulaylibrary.org/asset/203991781"
"Alcedinidae","Actenoides lindsayi","https://ebird.org/species/spokin1",38746,"Actenoides_lindsayi-ML38746.wav","Spotted Kingfisher","Actenoides lindsayi","Call","https://macaulaylibrary.org/asset/38746"
"Alcedinidae","Actenoides monachus","https://ebird.org/species/grbkin1",33099,"Actenoides_monachus-ML33099.wav","Green-backed Kingfisher","Actenoides monachus",NA,"https://macaulaylibrary.org/asset/33099"
"Alcedinidae","Actenoides princeps","https://ebird.org/species/scbkin1",236496,"Actenoides_princeps-ML236496.wav","Scaly-breasted Kingfisher (Scaly-breasted)","Actenoides princeps","Call","https://macaulaylibrary.org/asset/236496"
"Aegithalidae","Aegithalos fuliginosus","https://ebird.org/species/sootit1",204009171,"Aegithalos_fuliginosus-ML204009171.wav","Sooty Tit","Aegithalos fuliginosus","Call","https://macaulaylibrary.org/asset/204009171"
"Aegothelidae","Aegotheles albertisi","https://ebird.org/species/moonig1",168273411,"Aegotheles_albertisi-ML168273411.wav","Mountain Owlet-nightjar","Aegotheles albertisi","Call","https://macaulaylibrary.org/asset/168273411"
