"ML Catalog Number","Common Name","Recordist","Year","Month","Day","Country State County","Locality","Loc ID","Behaviors","Taxon Category","source","genus","family","Orginal.Scientific.Name","Scientific.Name","file_url","species_ebird_url","sound.files"
182659,"Gray Thornbill","Alexandra Class Freeman",2012,10,31,"PG-CPK","Mount Karimui",NA,NA,"Species","not publication cut","Acanthiza","Acanthizidae","Acanthiza cinerea","Acanthiza cinerea","https://macaulaylibrary.org/asset/182659","https://ebird.org/species/mouger1","Acanthiza_cinerea-ML182659.wav"
20983,"Papuan Thornbill","Dale A. Zimmerman",1979,8,4,"PG-MPL","Mt. Kaindi; Above Wau",NA,"Song","Species","not publication cut","Acanthiza","Acanthizidae","Acanthiza murina","Acanthiza murina","https://macaulaylibrary.org/asset/20983","https://ebird.org/species/paptho1","Acanthiza_murina-ML20983.wav"
246940,"Pied Goshawk","Niels Krabbe",2006,11,19,"SB-GU","Mt. Austen",NA,"Call","Species","not publication cut","Accipiter","Accipitridae","Accipiter albogularis","Accipiter albogularis","https://macaulaylibrary.org/asset/246940","https://ebird.org/species/piegos1","Accipiter_albogularis-ML246940.wav"
218135731,"Rufous-necked Sparrowhawk","Peter Kaestner",2019,8,11,"ID-MA-MA","(-3.0241,129.1825). Pass and south","L9777246",NA,"Species","not publication cut","Accipiter","Accipitridae","Accipiter erythrauchen","Accipiter erythrauchen","https://macaulaylibrary.org/asset/218135731","https://ebird.org/species/runspa1","Accipiter_erythrauchen-ML218135731.wav"
434682891,"Red-thighed Sparrowhawk","Peter Boesman",2022,3,12,"GH-AH","Bobiri Butterfly Sanctuary","L2027723","Flight Call","Species","not publication cut","Accipiter","Accipitridae","Accipiter erythropus","Accipiter erythropus","https://macaulaylibrary.org/asset/434682891","https://ebird.org/species/retspa1","Accipiter_erythropus-ML434682891.wav"
173401351,"New Caledonia Goshawk","Andrew Spencer",2015,12,18,"NC-","Parc les Grandes Fougeres--access road","L3887269","Call","Species","not publication cut","Accipiter","Accipitridae","Accipiter haplochrous","Accipiter haplochrous","https://macaulaylibrary.org/asset/173401351","https://ebird.org/species/necgos1","Accipiter_haplochrous-ML173401351.wav"
203906641,"Moluccan Goshawk","Josep del Hoyo",2014,9,1,"ID-MA-MU","Weda Resort","L2514873","Call","Species","not publication cut","Accipiter","Accipitridae","Accipiter henicogrammus","Accipiter henicogrammus","https://macaulaylibrary.org/asset/203906641","https://ebird.org/species/molgos1","Accipiter_henicogrammus-ML203906641.wav"
182234,"Variable Goshawk","John C. Mittermeier",2012,7,15,"ID-MA-MU","Obi; Tanjung Rijang; secondary growth along river",NA,NA,"Species","not publication cut","Accipiter","Accipitridae","Accipiter hiogaster","Accipiter hiogaster","https://macaulaylibrary.org/asset/182234","https://ebird.org/species/vargos1","Accipiter_hiogaster-ML182234.wav"
117225041,"Imitator Sparrowhawk","Lucas DeCicco",2018,6,25,"SB-IS","Solomon Islands; Isabel Province; Isabel Island; Mt. Sasari","L7982294","Call","Species","not publication cut","Accipiter","Accipitridae","Accipiter imitator","Accipiter imitator","https://macaulaylibrary.org/asset/117225041","https://ebird.org/species/imispa1","Accipiter_imitator-ML117225041.wav"
182869,"Small Sparrowhawk","Benjamin Freeman",2013,2,12,"ID","Lake Tambing, Lore Lindu National Park",NA,NA,"Species","not publication cut","Accipiter","Accipitridae","Accipiter nanus","Accipiter nanus","https://macaulaylibrary.org/asset/182869","https://ebird.org/species/smaspa1","Accipiter_nanus-ML182869.wav"
