"family","species","species_ebird_url","catalog_ID","sound_file","common.name","original_species_name","observations","behaviors","age_and_sex","file_url"
"Apterygidae","Apteryx owenii","https://ebird.org/species/liskiw1",811,"Apteryx_owenii-ML811.wav","Little Spotted Kiwi","Apteryx owenii",NA,"Call",NA,"https://macaulaylibrary.org/asset/811"
"Tinamidae","Nothocercus bonapartei","https://ebird.org/species/higtin2",871,"Nothocercus_bonapartei-ML871.wav","Highland Tinamou (South American)","Nothocercus bonapartei [bonapartei Group]",NA,"Song",NA,"https://macaulaylibrary.org/asset/871"
"Spheniscidae","Aptenodytes patagonicus","https://ebird.org/species/kinpen1",888,"Aptenodytes_patagonicus-ML888.wav","King Penguin","Aptenodytes patagonicus",NA,"Call; Non-vocal",NA,"https://macaulaylibrary.org/asset/888"
"Spheniscidae","Eudyptes chrysolophus","https://ebird.org/species/macpen1",893,"Eudyptes_chrysolophus-ML893.wav","Macaroni Penguin","Eudyptes chrysolophus",NA,"Courtship, Display, or Copulation",NA,"https://macaulaylibrary.org/asset/893"
"Spheniscidae","Spheniscus demersus","https://ebird.org/species/jacpen1",904,"Spheniscus_demersus-ML904.wav","African Penguin","Spheniscus demersus",NA,NA,NA,"https://macaulaylibrary.org/asset/904"
"Diomedeidae","Phoebastria immutabilis","https://ebird.org/species/layalb",959,"Phoebastria_immutabilis-ML959.wav","Laysan Albatross","Phoebastria immutabilis",NA,"Call; Courtship, Display, or Copulation; Non-vocal",NA,"https://macaulaylibrary.org/asset/959"
"Diomedeidae","Thalassarche melanophris","https://ebird.org/species/bkbalb1",963,"Thalassarche_melanophris-ML963.wav","Black-browed Albatross (Black-browed)","Thalassarche melanophris melanophris",NA,"Call; Courtship, Display, or Copulation",NA,"https://macaulaylibrary.org/asset/963"
"Diomedeidae","Phoebastria nigripes","https://ebird.org/species/bkfalb",968,"Phoebastria_nigripes-ML968.wav","Black-footed Albatross","Phoebastria nigripes",NA,"Call; Courtship, Display, or Copulation; Non-vocal",NA,"https://macaulaylibrary.org/asset/968"
"Procellariidae","Bulweria bulwerii","https://ebird.org/species/bulpet",969,"Bulweria_bulwerii-ML969.wav","Bulwer's Petrel","Bulweria bulwerii",NA,"Call",NA,"https://macaulaylibrary.org/asset/969"
"Procellariidae","Calonectris leucomelas","https://ebird.org/species/strshe",970,"Calonectris_leucomelas-ML970.wav","Streaked Shearwater","Calonectris leucomelas",NA,"Flying",NA,"https://macaulaylibrary.org/asset/970"
"Procellariidae","Procellaria westlandica","https://ebird.org/species/wespet1",973,"Procellaria_westlandica-ML973.wav","Westland Petrel","Procellaria westlandica",NA,NA,NA,"https://macaulaylibrary.org/asset/973"
"Procellariidae","Procellaria aequinoctialis","https://ebird.org/species/whcpet1",974,"Procellaria_aequinoctialis-ML974.wav","White-chinned Petrel","Procellaria aequinoctialis",NA,NA,NA,"https://macaulaylibrary.org/asset/974"
"Procellariidae","Pterodroma cookii","https://ebird.org/species/coopet",978,"Pterodroma_cookii-ML978.wav","Cook's Petrel","Pterodroma cookii",NA,"Call; Flying",NA,"https://macaulaylibrary.org/asset/978"
