"family","species","species_ebird_url","catalog_ID","sound_file","common.name","original_species_name","observations","behaviors","age_and_sex","file_url"
"Columbidae","Patagioenas nigrirostris","https://ebird.org/species/shbpig",57332,"Patagioenas_nigrirostris-ML57332.wav","Short-billed Pigeon","Patagioenas nigrirostris",NA,"Call; Non-vocal; Song","Adult – 2","https://macaulaylibrary.org/asset/57332"
"Accipitridae","Pseudastur albicollis","https://ebird.org/species/whihaw3",57336,"Pseudastur_albicollis-ML57336.wav","White Hawk (White-shouldered)","Pseudastur albicollis costaricensis",NA,"Call; Flying","Adult – 1","https://macaulaylibrary.org/asset/57336"
"Strigidae","Lophostrix cristata","https://ebird.org/species/creowl1",57346,"Lophostrix_cristata-ML57346.wav","Crested Owl","Lophostrix cristata",NA,NA,"Adult – 1","https://macaulaylibrary.org/asset/57346"
"Trogonidae","Trogon massena","https://ebird.org/species/slttro2",57350,"Trogon_massena-ML57350.wav","Slaty-tailed Trogon (Massena)","Trogon massena massena/hoffmanni",NA,"Song","Adult Male – 1; Adult – 1","https://macaulaylibrary.org/asset/57350"
"Trogonidae","Trogon bairdii","https://ebird.org/species/baitro1",57351,"Trogon_bairdii-ML57351.wav","Baird's Trogon","Trogon bairdii",NA,"Song","Adult Male – 1; Adult – 1","https://macaulaylibrary.org/asset/57351"
"Galbulidae","Galbula ruficauda","https://ebird.org/species/rutjac2",57354,"Galbula_ruficauda-ML57354.wav","Rufous-tailed Jacamar (Black-chinned)","Galbula ruficauda melanogenia",NA,"Song","Adult – 2","https://macaulaylibrary.org/asset/57354"
"Momotidae","Momotus lessonii","https://ebird.org/species/bucmot2",57356,"Momotus_lessonii-ML57356.wav","Lesson's Motmot","Momotus lessonii",NA,"Song","Adult – 1","https://macaulaylibrary.org/asset/57356"
"Thamnophilidae","Thamnophilus bridgesi","https://ebird.org/species/blhant2",57382,"Thamnophilus_bridgesi-ML57382.wav","Black-hooded Antshrike","Thamnophilus bridgesi",NA,"Song","Adult – 2","https://macaulaylibrary.org/asset/57382"
"Vireonidae","Tunchiornis ochraceiceps","https://ebird.org/species/tacgre2",57387,"Tunchiornis_ochraceiceps-ML57387.wav","Tawny-crowned Greenlet (Tawny-crowned)","Tunchiornis ochraceiceps [ochraceiceps Group]",NA,"Song","Unknown – 1","https://macaulaylibrary.org/asset/57387"
"Pipridae","Lepidothrix coronata","https://ebird.org/species/bucman1",57392,"Lepidothrix_coronata-ML57392.wav","Blue-crowned Manakin (Velvety)","Lepidothrix coronata velutina/minuscula",NA,"Call; Courtship, Display, or Copulation; Song",NA,"https://macaulaylibrary.org/asset/57392"
"Cotingidae","Lipaugus unirufus","https://ebird.org/species/rufpih1",57400,"Lipaugus_unirufus-ML57400.wav","Rufous Piha","Lipaugus unirufus",NA,"Song","Unknown – 1","https://macaulaylibrary.org/asset/57400"
"Furnariidae","Xiphorhynchus lachrymosus","https://ebird.org/species/blswoo1",57401,"Xiphorhynchus_lachrymosus-ML57401.wav","Black-striped Woodcreeper","Xiphorhynchus lachrymosus",NA,"Song",NA,"https://macaulaylibrary.org/asset/57401"
"Thraupidae","Eucometis penicillata","https://ebird.org/species/gyhtan1",57404,"Eucometis_penicillata-ML57404.wav","Gray-headed Tanager (Gray-crested)","Eucometis penicillata [spodocephalus Group]",NA,"Call; Song","Adult – 1","https://macaulaylibrary.org/asset/57404"
"Tyrannidae","Mionectes oleagineus","https://ebird.org/species/ocbfly1",57408,"Mionectes_oleagineus-ML57408.wav","Ochre-bellied Flycatcher","Mionectes oleagineus",NA,"Courtship, Display, or Copulation; Song","Male – 1","https://macaulaylibrary.org/asset/57408"
"Vireonidae","Vireolanius pulchellus","https://ebird.org/species/grsvir1",57418,"Vireolanius_pulchellus-ML57418.wav","Green Shrike-Vireo","Vireolanius pulchellus",NA,"Song","Unknown – 1","https://macaulaylibrary.org/asset/57418"
"Parulidae","Myiothlypis fulvicauda","https://ebird.org/species/burwar1",57422,"Myiothlypis_fulvicauda-ML57422.wav","Buff-rumped Warbler","Myiothlypis fulvicauda",NA,"Song","Adult Female – 1; Adult Male – 1","https://macaulaylibrary.org/asset/57422"
"Fringillidae","Euphonia imitans","https://ebird.org/species/spceup1",57428,"Euphonia_imitans-ML57428.wav","Spot-crowned Euphonia","Euphonia imitans",NA,"Song","Unknown – 1","https://macaulaylibrary.org/asset/57428"
"Cardinalidae","Habia atrimaxillaris","https://ebird.org/species/bcatan1",57436,"Habia_atrimaxillaris-ML57436.wav","Black-cheeked Ant-Tanager","Habia atrimaxillaris",NA,"Dawn Song; Song","Unknown – 1","https://macaulaylibrary.org/asset/57436"
"Tyrannidae","Capsiempis flaveola","https://ebird.org/species/yeltyr1",57464,"Capsiempis_flaveola-ML57464.wav","Yellow Tyrannulet","Capsiempis flaveola",NA,"Duet; Song","Unknown – 2","https://macaulaylibrary.org/asset/57464"
"Tyrannidae","Conopias albovittatus","https://ebird.org/species/whrfly",57465,"Conopias_albovittatus-ML57465.wav","White-ringed Flycatcher","Conopias albovittatus",NA,"Song",NA,"https://macaulaylibrary.org/asset/57465"
"Falconidae","Micrastur mirandollei","https://ebird.org/species/sbffal1",57472,"Micrastur_mirandollei-ML57472.wav","Slaty-backed Forest-Falcon","Micrastur mirandollei",NA,"Call","Unknown – 1","https://macaulaylibrary.org/asset/57472"
"Picidae","Melanerpes pucherani","https://ebird.org/species/blcwoo1",57475,"Melanerpes_pucherani-ML57475.wav","Black-cheeked Woodpecker","Melanerpes pucherani",NA,"Call; Foraging or Eating; Non-vocal","Male – 2","https://macaulaylibrary.org/asset/57475"
"Thraupidae","Ramphocelus sanguinolentus","https://ebird.org/species/crctan1",57498,"Ramphocelus_sanguinolentus-ML57498.wav","Crimson-collared Tanager","Ramphocelus sanguinolentus",NA,"Courtship, Display, or Copulation; Song","Adult Female – 1; Adult Male – 1","https://macaulaylibrary.org/asset/57498"
"Corvidae","Corvus cryptoleucus","https://ebird.org/species/chirav",57683,"Corvus_cryptoleucus-ML57683.wav","Chihuahuan Raven","Corvus cryptoleucus",NA,"Call",NA,"https://macaulaylibrary.org/asset/57683"
"Vireonidae","Vireo pallens","https://ebird.org/species/manvir4",57708,"Vireo_pallens-ML57708.wav","Mangrove Vireo (West Mexico)","Vireo pallens paluster",NA,"Song","Adult – 1","https://macaulaylibrary.org/asset/57708"
"Rhodinocichlidae","Rhodinocichla rosea","https://ebird.org/species/rottan2",57750,"Rhodinocichla_rosea-ML57750.wav","Rosy Thrush-Tanager","Rhodinocichla rosea",NA,"Call; Courtship, Display, or Copulation; Duet; Song","Adult Female – 1; Adult Male – 1","https://macaulaylibrary.org/asset/57750"
"Psittacidae","Anodorhynchus leari","https://ebird.org/species/indmac1",57779,"Anodorhynchus_leari-ML57779.wav","Indigo Macaw","Anodorhynchus leari",NA,NA,"Unknown – 46","https://macaulaylibrary.org/asset/57779"
"Psittacidae","Aratinga jandaya","https://ebird.org/species/janpar1",57783,"Aratinga_jandaya-ML57783.wav","Jandaya Parakeet","Aratinga jandaya",NA,"Call","Adult Female – 1; Adult Male – 1","https://macaulaylibrary.org/asset/57783"
"Psittacidae","Leptosittaca branickii","https://ebird.org/species/goppar1",57787,"Leptosittaca_branickii-ML57787.wav","Golden-plumed Parakeet","Leptosittaca branickii",NA,"Flying; Foraging or Eating",NA,"https://macaulaylibrary.org/asset/57787"
"Psittacidae","Pyrrhura calliptera","https://ebird.org/species/brbpar2",57796,"Pyrrhura_calliptera-ML57796.wav","Brown-breasted Parakeet","Pyrrhura calliptera",NA,"Call","Unknown – 1","https://macaulaylibrary.org/asset/57796"
"Trochilidae","Phaethornis nattereri","https://ebird.org/species/cither1",57853,"Phaethornis_nattereri-ML57853.wav","Cinnamon-throated Hermit","Phaethornis nattereri",NA,"Courtship, Display, or Copulation; Non-vocal; Song","Adult Male – 1","https://macaulaylibrary.org/asset/57853"
"Tyrannidae","Phylloscartes eximius","https://ebird.org/species/sobtyr2",57878,"Phylloscartes_eximius-ML57878.wav","Southern Bristle-Tyrant","Phylloscartes eximius",NA,"Call; Song","Adult – 2","https://macaulaylibrary.org/asset/57878"
"Ardeidae","Ixobrychus involucris","https://ebird.org/species/stbbit1",57880,"Ixobrychus_involucris-ML57880.wav","Stripe-backed Bittern","Ixobrychus involucris",NA,"Call; Song","Adult – 1","https://macaulaylibrary.org/asset/57880"
"Rallidae","Amaurolimnas concolor","https://ebird.org/species/unicra1",57927,"Amaurolimnas_concolor-ML57927.wav","Uniform Crake","Amaurolimnas concolor",NA,"Song","Unknown – 1","https://macaulaylibrary.org/asset/57927"
"Tyrannidae","Muscipipra vetula","https://ebird.org/species/shtgrt1",57929,"Muscipipra_vetula-ML57929.wav","Shear-tailed Gray Tyrant","Muscipipra vetula",NA,"Call","Adult – 2","https://macaulaylibrary.org/asset/57929"
"Anatidae","Aythya valisineria","https://ebird.org/species/canvas",57943,"Aythya_valisineria-ML57943.wav","Canvasback","Aythya valisineria",NA,"Call; Courtship, Display, or Copulation","Adult Female – 2; Adult Male – 2","https://macaulaylibrary.org/asset/57943"
"Trochilidae","Coeligena wilsoni","https://ebird.org/species/broinc2",58006,"Coeligena_wilsoni-ML58006.wav","Brown Inca","Coeligena wilsoni",NA,"Dawn Song; Song","Unknown – 1","https://macaulaylibrary.org/asset/58006"
"Thraupidae","Sicalis lutea","https://ebird.org/species/puyfin1",58212,"Sicalis_lutea-ML58212.wav","Puna Yellow-Finch","Sicalis lutea",NA,"Song","Adult Male – 1","https://macaulaylibrary.org/asset/58212"
"Psittacidae","Hapalopsittaca melanotis","https://ebird.org/species/blwpar1",58224,"Hapalopsittaca_melanotis-ML58224.wav","Black-winged Parrot","Hapalopsittaca melanotis",NA,"Flying","Unknown – 4","https://macaulaylibrary.org/asset/58224"
"Psittacidae","Psilopsiagon aymara","https://ebird.org/species/gyhpar1",58226,"Psilopsiagon_aymara-ML58226.wav","Gray-hooded Parakeet","Psilopsiagon aymara",NA,"Call","Adult – 1","https://macaulaylibrary.org/asset/58226"
"Psittacidae","Touit dilectissimus","https://ebird.org/species/bufpar1",58254,"Touit_dilectissimus-ML58254.wav","Blue-fronted Parrotlet","Touit dilectissimus",NA,"Call","Adult Female – 1; Adult Male – 1","https://macaulaylibrary.org/asset/58254"
"Psittacidae","Pionopsitta pileata","https://ebird.org/species/recpar3",58256,"Pionopsitta_pileata-ML58256.wav","Pileated Parrot","Pionopsitta pileata",NA,"Foraging or Eating; Song","Male – 1","https://macaulaylibrary.org/asset/58256"
"Psittacidae","Ara ambiguus","https://ebird.org/species/grgmac",58265,"Ara_ambiguus-ML58265.wav","Great Green Macaw","Ara ambiguus",NA,"Call; Flying","Unknown – 2","https://macaulaylibrary.org/asset/58265"
"Tyrannidae","Ochthoeca frontalis","https://ebird.org/species/crocht2",58284,"Ochthoeca_frontalis-ML58284.wav","Crowned Chat-Tyrant (Crowned)","Ochthoeca frontalis frontalis/albidiadema",NA,"Song","Adult Female – 1; Adult Male – 1","https://macaulaylibrary.org/asset/58284"
"Apodidae","Chaetura brachyura","https://ebird.org/species/shtswi2",58296,"Chaetura_brachyura-ML58296.wav","Short-tailed Swift (Short-tailed)","Chaetura brachyura [brachyura Group]",NA,"Call; Courtship, Display, or Copulation; Foraging or Eating; Song","Adult – 2","https://macaulaylibrary.org/asset/58296"
"Corvidae","Cyanolyca pulchra","https://ebird.org/species/beajay1",58352,"Cyanolyca_pulchra-ML58352.wav","Beautiful Jay","Cyanolyca pulchra",NA,"Call","Adult – 1","https://macaulaylibrary.org/asset/58352"
"Thamnophilidae","Epinecrophylla fulviventris","https://ebird.org/species/chtant1",58387,"Epinecrophylla_fulviventris-ML58387.wav","Checker-throated Stipplethroat","Epinecrophylla fulviventris",NA,"Call",NA,"https://macaulaylibrary.org/asset/58387"
"Passerellidae","Chlorospingus semifuscus","https://ebird.org/species/dubtan1",58400,"Chlorospingus_semifuscus-ML58400.wav","Dusky Chlorospingus","Chlorospingus semifuscus",NA,"Call; Song",NA,"https://macaulaylibrary.org/asset/58400"
"Tyrannidae","Leptopogon superciliaris","https://ebird.org/species/slcfly4",58403,"Leptopogon_superciliaris-ML58403.wav","Slaty-capped Flycatcher (transandinus)","Leptopogon superciliaris transandinus",NA,"Dawn Song; Song","Adult Male – 1","https://macaulaylibrary.org/asset/58403"
"Sylviidae","Curruca lugens","https://ebird.org/species/brnwar1",58420,"Curruca_lugens-ML58420.wav","Brown Parisoma","Curruca lugens",NA,"Song","Adult Male – 1","https://macaulaylibrary.org/asset/58420"
"Cuculidae","Centropus superciliosus","https://ebird.org/species/whbcou1",58424,"Centropus_superciliosus-ML58424.wav","White-browed Coucal","Centropus superciliosus",NA,"Duet; Song",NA,"https://macaulaylibrary.org/asset/58424"
"Phasianidae","Scleroptila shelleyi","https://ebird.org/species/shefra2",58546,"Scleroptila_shelleyi-ML58546.wav","Shelley's Francolin","Scleroptila shelleyi",NA,"Song","Adult Male – 1","https://macaulaylibrary.org/asset/58546"
"Campephagidae","Campephaga flava","https://ebird.org/species/blkcus1",58554,"Campephaga_flava-ML58554.wav","Black Cuckooshrike","Campephaga flava",NA,"Song","Adult Female – 1; Adult Male – 2","https://macaulaylibrary.org/asset/58554"
"Accipitridae","Polyboroides typus","https://ebird.org/species/afhhaw1",58586,"Polyboroides_typus-ML58586.wav","African Harrier-Hawk","Polyboroides typus",NA,"Song","Adult – 1","https://macaulaylibrary.org/asset/58586"
"Indicatoridae","Indicator indicator","https://ebird.org/species/grehon2",58597,"Indicator_indicator-ML58597.wav","Greater Honeyguide","Indicator indicator",NA,"Song","Adult Male – 1","https://macaulaylibrary.org/asset/58597"
"Indicatoridae","Indicator variegatus","https://ebird.org/species/scthon1",58643,"Indicator_variegatus-ML58643.wav","Scaly-throated Honeyguide","Indicator variegatus",NA,"Non-vocal; Song",NA,"https://macaulaylibrary.org/asset/58643"
"Sturnidae","Lamprotornis chalybaeus","https://ebird.org/species/gbesta1",58650,"Lamprotornis_chalybaeus-ML58650.wav","Greater Blue-eared Starling","Lamprotornis chalybaeus",NA,NA,NA,"https://macaulaylibrary.org/asset/58650"
"Alaudidae","Calendulauda africanoides","https://ebird.org/species/faclar2",58651,"Calendulauda_africanoides-ML58651.wav","Fawn-colored Lark","Calendulauda africanoides",NA,"Song","Adult Male – 1","https://macaulaylibrary.org/asset/58651"
"Campephagidae","Campephaga quiscalina","https://ebird.org/species/putcus1",58662,"Campephaga_quiscalina-ML58662.wav","Purple-throated Cuckooshrike","Campephaga quiscalina",NA,"Song","Adult Male – 1","https://macaulaylibrary.org/asset/58662"
"Muscicapidae","Sheppardia gunningi","https://ebird.org/species/eacaka2",58665,"Sheppardia_gunningi-ML58665.wav","East Coast Akalat (East Coast)","Sheppardia gunningi sokokensis",NA,"Song","Adult Male – 1","https://macaulaylibrary.org/asset/58665"
"Tinamidae","Tinamus tao","https://ebird.org/species/grytin1",58705,"Tinamus_tao-ML58705.wav","Gray Tinamou","Tinamus tao",NA,"Song",NA,"https://macaulaylibrary.org/asset/58705"
"Tinamidae","Tinamus guttatus","https://ebird.org/species/whttin1",58729,"Tinamus_guttatus-ML58729.wav","White-throated Tinamou","Tinamus guttatus",NA,"Song","Unknown – 1","https://macaulaylibrary.org/asset/58729"
"Tinamidae","Crypturellus variegatus","https://ebird.org/species/vartin1",58765,"Crypturellus_variegatus-ML58765.wav","Variegated Tinamou","Crypturellus variegatus",NA,"Song","Unknown – 2","https://macaulaylibrary.org/asset/58765"
"Tinamidae","Crypturellus casiquiare","https://ebird.org/species/bartin1",58766,"Crypturellus_casiquiare-ML58766.wav","Barred Tinamou","Crypturellus casiquiare",NA,"Song",NA,"https://macaulaylibrary.org/asset/58766"
"Phalacrocoracidae","Nannopterum brasilianum","https://ebird.org/species/neocor",58773,"Nannopterum_brasilianum-ML58773.wav","Neotropic Cormorant","Nannopterum brasilianum",NA,NA,NA,"https://macaulaylibrary.org/asset/58773"
"Ardeidae","Syrigma sibilatrix","https://ebird.org/species/whiher1",58784,"Syrigma_sibilatrix-ML58784.wav","Whistling Heron","Syrigma sibilatrix",NA,"Call",NA,"https://macaulaylibrary.org/asset/58784"
"Threskiornithidae","Mesembrinibis cayennensis","https://ebird.org/species/greibi1",58799,"Mesembrinibis_cayennensis-ML58799.wav","Green Ibis","Mesembrinibis cayennensis",NA,"Call; Flying",NA,"https://macaulaylibrary.org/asset/58799"
"Threskiornithidae","Cercibis oxycerca","https://ebird.org/species/shtibi1",58912,"Cercibis_oxycerca-ML58912.wav","Sharp-tailed Ibis","Cercibis oxycerca",NA,"Call; Foraging or Eating",NA,"https://macaulaylibrary.org/asset/58912"
"Threskiornithidae","Phimosus infuscatus","https://ebird.org/species/bafibi1",58917,"Phimosus_infuscatus-ML58917.wav","Bare-faced Ibis","Phimosus infuscatus",NA,"Call",NA,"https://macaulaylibrary.org/asset/58917"
"Anhimidae","Anhima cornuta","https://ebird.org/species/horscr1",58926,"Anhima_cornuta-ML58926.wav","Horned Screamer","Anhima cornuta",NA,"Call",NA,"https://macaulaylibrary.org/asset/58926"
"Anatidae","Anas andium","https://ebird.org/species/andtea2",58953,"Anas_andium-ML58953.wav","Andean Teal (Merida)","Anas andium altipetens",NA,NA,NA,"https://macaulaylibrary.org/asset/58953"
"Accipitridae","Gampsonyx swainsonii","https://ebird.org/species/peakit1",58956,"Gampsonyx_swainsonii-ML58956.wav","Pearl Kite","Gampsonyx swainsonii",NA,"Call",NA,"https://macaulaylibrary.org/asset/58956"
"Accipitridae","Leptodon cayanensis","https://ebird.org/species/grhkit1",58961,"Leptodon_cayanensis-ML58961.wav","Gray-headed Kite","Leptodon cayanensis",NA,"Courtship, Display, or Copulation; Flying; Song","Unknown – 1","https://macaulaylibrary.org/asset/58961"
"Accipitridae","Buteogallus meridionalis","https://ebird.org/species/savhaw1",58966,"Buteogallus_meridionalis-ML58966.wav","Savanna Hawk","Buteogallus meridionalis",NA,"Call",NA,"https://macaulaylibrary.org/asset/58966"
"Falconidae","Milvago chimachima","https://ebird.org/species/yehcar1",59190,"Milvago_chimachima-ML59190.wav","Yellow-headed Caracara","Milvago chimachima",NA,"Call",NA,"https://macaulaylibrary.org/asset/59190"
"Accipitridae","Busarellus nigricollis","https://ebird.org/species/blchaw1",59290,"Busarellus_nigricollis-ML59290.wav","Black-collared Hawk","Busarellus nigricollis",NA,NA,NA,"https://macaulaylibrary.org/asset/59290"
"Accipitridae","Buteo swainsoni","https://ebird.org/species/swahaw",59299,"Buteo_swainsoni-ML59299.wav","Swainson's Hawk","Buteo swainsoni",NA,"Call","Unknown – 1","https://macaulaylibrary.org/asset/59299"
"Strigidae","Megascops watsonii","https://ebird.org/species/tabsco2",59364,"Megascops_watsonii-ML59364.wav","Tawny-bellied Screech-Owl (Tawny-bellied)","Megascops watsonii watsonii",NA,"Song",NA,"https://macaulaylibrary.org/asset/59364"
"Cinclidae","Cinclus mexicanus","https://ebird.org/species/amedip1",59403,"Cinclus_mexicanus-ML59403.wav","American Dipper (Northern)","Cinclus mexicanus [mexicanus Group]",NA,"Song",NA,"https://macaulaylibrary.org/asset/59403"
"Anatidae","Histrionicus histrionicus","https://ebird.org/species/harduc",59424,"Histrionicus_histrionicus-ML59424.wav","Harlequin Duck","Histrionicus histrionicus",NA,"Courtship, Display, or Copulation",NA,"https://macaulaylibrary.org/asset/59424"
"Parulidae","Setophaga palmarum","https://ebird.org/species/palwar3",59571,"Setophaga_palmarum-ML59571.wav","Palm Warbler (Western)","Setophaga palmarum palmarum",NA,"Song",NA,"https://macaulaylibrary.org/asset/59571"
"Parulidae","Setophaga pitiayumi","https://ebird.org/species/tropar1",59575,"Setophaga_pitiayumi-ML59575.wav","Tropical Parula (Northeast Mexico)","Setophaga pitiayumi nigrilora",NA,"Song",NA,"https://macaulaylibrary.org/asset/59575"
"Strigidae","Megascops albogularis","https://ebird.org/species/whtsco1",59606,"Megascops_albogularis-ML59606.wav","White-throated Screech-Owl","Megascops albogularis",NA,"Song",NA,"https://macaulaylibrary.org/asset/59606"
"Strigidae","Glaucidium jardinii","https://ebird.org/species/anpowl1",59682,"Glaucidium_jardinii-ML59682.wav","Andean Pygmy-Owl","Glaucidium jardinii",NA,"Song",NA,"https://macaulaylibrary.org/asset/59682"
"Strigidae","Ciccaba virgata","https://ebird.org/species/motowl1",59691,"Ciccaba_virgata-ML59691.wav","Mottled Owl (Mottled)","Ciccaba virgata [virgata Group]",NA,"Call","Adult Female – 1; Adult Male – 1","https://macaulaylibrary.org/asset/59691"
"Nyctibiidae","Nyctibius griseus","https://ebird.org/species/compot1",59964,"Nyctibius_griseus-ML59964.wav","Common Potoo","Nyctibius griseus",NA,NA,NA,"https://macaulaylibrary.org/asset/59964"
"Caprimulgidae","Lurocalis rufiventris","https://ebird.org/species/rubnig1",59984,"Lurocalis_rufiventris-ML59984.wav","Rufous-bellied Nighthawk","Lurocalis rufiventris",NA,"Call; Flying",NA,"https://macaulaylibrary.org/asset/59984"
"Caprimulgidae","Lurocalis semitorquatus","https://ebird.org/species/shtnig2",59995,"Lurocalis_semitorquatus-ML59995.wav","Short-tailed Nighthawk (Short-tailed)","Lurocalis semitorquatus [semitorquatus Group]",NA,"Call; Non-vocal",NA,"https://macaulaylibrary.org/asset/59995"
"Trochilidae","Archilochus alexandri","https://ebird.org/species/bkchum",60124,"Archilochus_alexandri-ML60124.wav","Black-chinned Hummingbird","Archilochus alexandri",NA,"Courtship, Display, or Copulation; Flying","Adult Male – 1","https://macaulaylibrary.org/asset/60124"
"Stercorariidae","Stercorarius pomarinus","https://ebird.org/species/pomjae",60141,"Stercorarius_pomarinus-ML60141.wav","Pomarine Jaeger","Stercorarius pomarinus",NA,"Call; Non-vocal","Adult Female – 1; Adult Male – 1; Unknown – 1","https://macaulaylibrary.org/asset/60141"
"Galbulidae","Brachygalba goeringi","https://ebird.org/species/pahjac1",60157,"Brachygalba_goeringi-ML60157.wav","Pale-headed Jacamar","Brachygalba goeringi",NA,"Call; Song",NA,"https://macaulaylibrary.org/asset/60157"
"Acrocephalidae","Hippolais polyglotta","https://ebird.org/species/melwar1",60200,"Hippolais_polyglotta-ML60200.wav","Melodious Warbler","Hippolais polyglotta",NA,"Song","Adult Male – 1","https://macaulaylibrary.org/asset/60200"
"Sylviidae","Curruca iberiae","https://ebird.org/species/subwar6",60201,"Curruca_iberiae-ML60201.wav","Western Subalpine Warbler","Curruca iberiae",NA,NA,"Adult Male – 1","https://macaulaylibrary.org/asset/60201"
"Caprimulgidae","Caprimulgus ruficollis","https://ebird.org/species/rennig1",60206,"Caprimulgus_ruficollis-ML60206.wav","Red-necked Nightjar","Caprimulgus ruficollis",NA,"Song","Male – 1","https://macaulaylibrary.org/asset/60206"
"Phasianidae","Alectoris rufa","https://ebird.org/species/relpar1",60211,"Alectoris_rufa-ML60211.wav","Red-legged Partridge","Alectoris rufa",NA,"Song","Unknown – 1","https://macaulaylibrary.org/asset/60211"
"Sylviidae","Curruca melanocephala","https://ebird.org/species/sarwar1",60217,"Curruca_melanocephala-ML60217.wav","Sardinian Warbler","Curruca melanocephala",NA,"Song","Adult – 1","https://macaulaylibrary.org/asset/60217"
"Bucconidae","Malacoptila fulvogularis","https://ebird.org/species/blspuf1",60233,"Malacoptila_fulvogularis-ML60233.wav","Black-streaked Puffbird","Malacoptila fulvogularis",NA,"Song",NA,"https://macaulaylibrary.org/asset/60233"
"Trochilidae","Chrysuronia coeruleogularis","https://ebird.org/species/sathum1",60259,"Chrysuronia_coeruleogularis-ML60259.wav","Sapphire-throated Hummingbird","Chrysuronia coeruleogularis",NA,"Call","Adult Male – 1","https://macaulaylibrary.org/asset/60259"
"Troglodytidae","Pheugopedius spadix","https://ebird.org/species/sohwre1",60297,"Pheugopedius_spadix-ML60297.wav","Sooty-headed Wren","Pheugopedius spadix",NA,"Call; Song",NA,"https://macaulaylibrary.org/asset/60297"
"Picidae","Piculus callopterus","https://ebird.org/species/stcwoo1",60344,"Piculus_callopterus-ML60344.wav","Stripe-cheeked Woodpecker","Piculus callopterus",NA,NA,NA,"https://macaulaylibrary.org/asset/60344"
"Tinamidae","Crypturellus kerriae","https://ebird.org/species/chotin1",60345,"Crypturellus_kerriae-ML60345.wav","Choco Tinamou","Crypturellus kerriae",NA,"Song","Unknown – 2","https://macaulaylibrary.org/asset/60345"
"Tyrannidae","Zimmerius albigularis","https://ebird.org/species/chotyr1",60372,"Zimmerius_albigularis-ML60372.wav","Choco Tyrannulet","Zimmerius albigularis",NA,"Dawn Song; Song",NA,"https://macaulaylibrary.org/asset/60372"
"Thraupidae","Conirostrum binghami","https://ebird.org/species/giacon1",60379,"Conirostrum_binghami-ML60379.wav","Giant Conebill","Conirostrum binghami",NA,"Foraging or Eating; Song",NA,"https://macaulaylibrary.org/asset/60379"
"Thamnophilidae","Epinecrophylla erythrura","https://ebird.org/species/rutant3",60397,"Epinecrophylla_erythrura-ML60397.wav","Rufous-tailed Stipplethroat","Epinecrophylla erythrura",NA,"Courtship, Display, or Copulation; Song","Adult Male – 1","https://macaulaylibrary.org/asset/60397"
"Icteridae","Cacicus oseryi","https://ebird.org/species/casoro2",60400,"Cacicus_oseryi-ML60400.wav","Casqued Cacique","Cacicus oseryi",NA,"Song",NA,"https://macaulaylibrary.org/asset/60400"
"Trochilidae","Schistes geoffroyi","https://ebird.org/species/webhum1",60424,"Schistes_geoffroyi-ML60424.wav","Geoffroy's Daggerbill","Schistes geoffroyi",NA,"Song","Adult Male – 1","https://macaulaylibrary.org/asset/60424"
"Psittacidae","Aratinga nenday","https://ebird.org/species/bkhpar",60437,"Aratinga_nenday-ML60437.wav","Nanday Parakeet","Aratinga nenday",NA,NA,"Unknown – 4","https://macaulaylibrary.org/asset/60437"
"Fringillidae","Carpodacus rubicilloides","https://ebird.org/species/strros1",60467,"Carpodacus_rubicilloides-ML60467.wav","Streaked Rosefinch","Carpodacus rubicilloides",NA,"Song","Adult Female – 1","https://macaulaylibrary.org/asset/60467"
"Passeridae","Montifringilla adamsi","https://ebird.org/species/blwsno1",60468,"Montifringilla_adamsi-ML60468.wav","Black-winged Snowfinch","Montifringilla adamsi",NA,NA,NA,"https://macaulaylibrary.org/asset/60468"
"Corvidae","Pica bottanensis","https://ebird.org/species/eurmag6",60469,"Pica_bottanensis-ML60469.wav","Black-rumped Magpie","Pica bottanensis",NA,"Call",NA,"https://macaulaylibrary.org/asset/60469"
"Certhiidae","Certhia hodgsoni","https://ebird.org/species/eurtre3",60476,"Certhia_hodgsoni-ML60476.wav","Hodgson's Treecreeper","Certhia hodgsoni",NA,"Song","Unknown – 1","https://macaulaylibrary.org/asset/60476"
"Turdidae","Turdus maximus","https://ebird.org/species/tibbla1",60491,"Turdus_maximus-ML60491.wav","Tibetan Blackbird","Turdus maximus",NA,"Song","Adult – 1","https://macaulaylibrary.org/asset/60491"
"Pipridae","Heterocercus aurantiivertex","https://ebird.org/species/orcman3",60542,"Heterocercus_aurantiivertex-ML60542.wav","Orange-crowned Manakin","Heterocercus aurantiivertex",NA,"Song","Adult Male – 1","https://macaulaylibrary.org/asset/60542"
"Caprimulgidae","Hydropsalis cayennensis","https://ebird.org/species/whtnig1",60668,"Hydropsalis_cayennensis-ML60668.wav","White-tailed Nightjar","Hydropsalis cayennensis",NA,"Call",NA,"https://macaulaylibrary.org/asset/60668"
"Caprimulgidae","Setopagis heterura","https://ebird.org/species/samnig1",60675,"Setopagis_heterura-ML60675.wav","Todd's Nightjar","Setopagis heterura",NA,"Song",NA,"https://macaulaylibrary.org/asset/60675"
"Icteridae","Psarocolius decumanus","https://ebird.org/species/creoro1",60697,"Psarocolius_decumanus-ML60697.wav","Crested Oropendola","Psarocolius decumanus",NA,"Call; Courtship, Display, or Copulation; Song",NA,"https://macaulaylibrary.org/asset/60697"
